"동별(1)","동별(2)",항목,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"중구","신당동",외국인,1502,26,16,14,14,357,394,171,94,68,47,82,112,73,17,13,3,1,-,-,-,-
"중구","다산동",계,13886,229,250,323,392,857,1466,1300,1006,907,916,1194,1030,1146,937,640,558,465,183,67,18,2
"중구","다산동",한국인,13403,220,237,309,378,798,1364,1244,955,881,878,1162,1006,1116,928,637,556,464,183,67,18,2
"중구","다산동",외국인,483,9,13,14,14,59,102,56,51,26,38,32,24,30,9,3,2,1,-,-,-,-
"중구","약수동",계,16512,385,497,467,461,750,1099,1207,1098,1228,1107,1332,1356,1418,1322,930,738,604,348,124,35,6
"중구","약수동",한국인,16282,383,489,455,444,742,1078,1188,1069,1198,1085,1314,1338,1412,1315,920,738,603,347,124,35,5
"중구","약수동",외국인,230,2,8,12,17,8,21,19,29,30,22,18,18,6,7,10,-,1,1,-,-,1
"중구","청구동",계,13361,315,350,364,407,710,1040,1178,1023,887,866,1134,1043,1163,932,644,519,453,233,75,20,5
"중구","청구동",한국인,13114,310,341,361,403,666,1000,1148,996,867,846,1113,1031,1155,930,644,518,453,233,74,20,5
"중구","청구동",외국인,247,5,9,3,4,44,40,30,27,20,20,21,12,8,2,-,1,-,-,1,-,-
"중구","동화동",계,10188,255,350,364,433,546,662,725,621,741,674,944,935,932,664,457,350,298,166,61,9,1
"중구","동화동",한국인,10015,253,341,359,429,529,640,706,593,724,667,936,921,920,660,454,349,298,165,61,9,1
"중구","동화동",외국인,173,2,9,5,4,17,22,19,28,17,7,8,14,12,4,3,1,-,1,-,-,-
