"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자,외국인주민 자녀(출생)
"동별(1)",동별(2),동별(3),소계,소계,외국인근로자,결혼이민자,유학생,외국국적동포,기타외국인,소계,소계
"합계",노원구,중계4동,114,58,*,15,*,15,21,24,32
"합계",노원구,상계1동,331,194,20,73,5,28,68,47,90
"합계",노원구,상계2동,327,242,31,37,35,35,104,40,45
"합계",노원구,상계5동,313,183,7,52,17,36,71,51,79
"합계",노원구,상계8동,122,60,*,40,*,10,8,19,43
"합계",노원구,상계9동,235,124,*,53,*,21,43,37,74
"합계",노원구,상계10동,126,85,*,38,6,17,21,12,29
"합계",노원구,상계3.4동,300,160,9,53,*,38,56,66,74
"합계",노원구,상계6.7동,311,214,31,51,19,52,61,40,57
"합계",노원구,중계2.3동,345,179,26,82,*,22,49,68,98
"합계",노원구,공릉1동,903,687,51,69,292,84,191,102,114
"합계",은평구,소계,9026,5724,473,1303,272,1390,2286,1521,1781
"합계",은평구,녹번동,760,520,53,126,21,124,196,112,128
"합계",은평구,불광1동,648,400,58,92,13,110,127,118,130
"합계",은평구,갈현1동,458,311,40,61,10,84,116,71,76
"합계",은평구,갈현2동,675,444,19,81,5,93,246,127,104
"합계",은평구,구산동,615,360,23,81,17,70,169,118,137
"합계",은평구,대조동,736,506,39,79,31,158,199,121,109
"합계",은평구,응암1동,673,410,63,96,19,87,145,116,147
"합계",은평구,응암2동,465,258,7,85,5,45,116,85,122
"합계",은평구,신사1동,455,271,12,73,15,52,119,75,109
"합계",은평구,신사2동,304,200,13,43,7,56,81,37,67
"합계",은평구,증산동,242,160,11,36,13,25,75,37,45
"합계",은평구,수색동,156,102,5,28,*,20,48,20,34
"합계",은평구,진관동,595,374,42,92,10,118,112,79,142
"합계",은평구,불광2동,640,407,29,106,10,130,132,121,112
"합계",은평구,응암3동,689,458,26,99,53,81,199,108,123
"합계",은평구,역촌동,915,543,33,125,42,137,206,176,196
"합계",서대문구,소계,16636,14635,1003,959,5741,1359,5573,928,1073
"합계",서대문구,천연동,419,326,48,43,41,70,124,36,57
"합계",서대문구,홍제1동,459,339,18,45,24,75,177,61,59
"합계",서대문구,홍제3동,301,203,18,36,19,53,77,43,55
"합계",서대문구,홍제2동,205,136,8,29,8,26,65,35,34
"합계",서대문구,홍은1동,408,307,25,64,47,40,131,44,57
"합계",서대문구,홍은2동,1153,955,48,85,286,74,462,101,97
"합계",서대문구,남가좌1동,439,311,9,56,5,50,191,50,78
"합계",서대문구,남가좌2동,1567,1395,27,88,722,74,484,82,90
"합계",서대문구,북가좌1동,296,170,16,46,*,39,67,36,90
"합계",서대문구,북가좌2동,715,442,39,90,59,88,166,130,143
"합계",서대문구,충현동,699,587,62,85,100,117,223,41,71
"합계",서대문구,북아현동,529,426,34,58,50,111,173,55,48
"합계",서대문구,신촌동,5592,5513,281,63,3643,236,1290,44,35
"합계",서대문구,연희동,3854,3525,370,171,735,306,1943,170,159
"합계",마포구,소계,14499,12360,1208,1212,3473,1849,4618,911,1228
"합계",마포구,용강동,656,527,51,97,28,87,264,31,98
"합계",마포구,대흥동,1920,1826,160,50,901,184,531,49,45
"합계",마포구,염리동,534,463,43,53,131,73,163,30,41
"합계",마포구,신수동,585,495,45,49,117,86,198,34,56
"합계",마포구,서교동,2323,2200,179,85,1073,171,692,66,57
"합계",마포구,합정동,599,500,64,64,115,94,163,52,47
"합계",마포구,망원1동,604,455,52,78,43,114,168,71,78
"합계",마포구,망원2동,445,292,48,65,21,60,98,69,84
"합계",마포구,연남동,1288,1189,125,63,338,103,560,57,42
"합계",마포구,성산1동,571,440,50,64,51,91,184,71,60
"합계",마포구,성산2동,607,443,38,69,96,88,152,71,93
"합계",마포구,상암동,950,730,103,109,25,68,425,66,154
"합계",마포구,도화동,474,386,48,63,28,114,133,42,46
"합계",마포구,서강동,1004,903,61,72,418,119,233,40,61
"합계",마포구,공덕동,1231,979,106,134,57,275,407,101,151
"합계",마포구,아현동,708,532,35,97,31,122,247,61,115
"합계",양천구,소계,8335,5291,625,1111,101,1767,1687,1581,1463
"합계",양천구,목1동,326,218,21,57,12,54,74,32,76
"합계",양천구,목2동,512,377,59,86,14,112,106,68,67
"합계",양천구,목3동,423,262,24,63,8,86,81,90,71
"합계",양천구,목4동,467,286,30,69,*,87,98,92,89
"합계",양천구,신월1동,717,448,55,102,6,152,133,154,115
"합계",양천구,신월2동,436,239,23,50,5,82,79,114,83
"합계",양천구,신월3동,476,300,39,52,8,96,105,91,85
"합계",양천구,신월4동,304,149,9,47,*,42,50,62,93
"합계",양천구,신월5동,373,225,16,50,*,72,84,69,79
"합계",양천구,신월6동,133,77,*,23,*,22,27,20,36
"합계",양천구,신월7동,410,214,11,60,*,54,88,90,106
"합계",양천구,신정1동,255,173,28,27,*,66,52,43,39
"합계",양천구,신정2동,262,181,23,22,*,55,78,45,36
"합계",양천구,신정3동,973,574,69,122,5,211,167,225,174
"합계",양천구,신정6동,126,78,*,25,*,35,14,10,38
"합계",양천구,신정7동,438,241,28,76,7,60,70,130,67
"합계",양천구,목5동,269,192,25,37,*,93,33,17,60
"합계",양천구,신정4동,1435,1057,157,143,21,388,348,229,149
"합계",강서구,소계,12701,8367,1029,1695,228,2718,2697,2281,2053
"합계",강서구,염창동,293,188,21,62,12,44,49,30,75
"합계",강서구,등촌1동,380,291,44,55,12,94,86,42,47
"합계",강서구,등촌2동,269,181,20,44,5,46,66,40,48
"합계",강서구,등촌3동,472,283,22,80,6,67,108,107,82
"합계",강서구,화곡본동,999,637,38,144,39,190,226,190,172
"합계",강서구,화곡2동,676,435,34,62,8,182,149,148,93
"합계",강서구,화곡3동,396,270,29,38,10,115,78,76,50
"합계",강서구,화곡4동,736,492,53,84,6,186,163,141,103
"합계",강서구,화곡6동,532,348,33,74,19,97,125,90,94
"합계",강서구,화곡8동,1003,676,74,93,12,257,240,202,125
"합계",강서구,가양1동,489,394,80,74,13,113,114,45,50
"합계",강서구,가양2동,217,127,31,39,*,17,40,41,49
"합계",강서구,가양3동,273,163,7,61,*,44,51,61,49
"합계",강서구,발산1동,407,197,24,72,*,38,61,66,144
"합계",강서구,공항동,1226,839,137,130,34,298,240,211,176
"합계",강서구,방화1동,665,398,46,85,6,141,120,109,158
"합계",강서구,방화2동,636,448,106,83,6,128,125,100,88
"합계",강서구,방화3동,341,208,20,69,*,58,60,55,78
"합계",강서구,화곡1동,2192,1468,176,269,29,503,491,463,261
"합계",강서구,우장산동,499,324,34,77,8,100,105,64,111
